tick_ms,row_type,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,lat,lon,alt,speed,sats,vbat
31292,I,0.2413,-0.0259,0.7092,-3.05,-1.10,0.55,,,,,,
31323,I,0.3282,-0.0398,0.7430,-2.07,-3.35,0.79,,,,,,
31333,I,0.0854,0.0598,1.3308,0.00,3.23,-0.73,,,,,,
31343,I,0.2117,0.0317,0.8595,-0.43,-0.30,0.30,,,,,,
31353,I,0.2366,-0.0076,0.8534,-2.13,-0.43,0.37,,,,,,
31363,I,0.0261,0.0527,1.3511,-1.95,3.35,-0.61,,,,,,
31373,I,0.1874,-0.0051,0.6964,-1.65,-0.67,0.37,,,,,,
31383,I,0.2792,-0.0419,0.9211,-1.10,-2.56,0.37,,,,,,
31393,I,0.0708,0.0859,1.3435,-0.67,3.90,-1.04,,,,,,
31403,I,0.2599,0.0050,0.7406,-0.91,-2.07,0.43,,,,,,
31413,I,0.2401,-0.0037,0.9454,-0.79,-0.37,0.30,,,,,,
31423,I,0.0225,0.0570,1.3060,-2.56,4.09,-0.61,,,,,,
31433,I,0.2241,-0.0339,0.6273,-2.38,-1.65,0.61,,,,,,
31443,I,0.2543,-0.0167,1.0646,0.30,-1.71,0.24,,,,,,
31453,I,0.0496,0.0580,1.2046,-0.85,3.90,-0.73,,,,,,
31463,I,0.3021,-0.0167,0.7598,-1.34,-3.17,0.61,,,,,,
31473,I,0.1798,0.0276,1.1293,0.18,1.04,0.12,,,,,,
31483,I,0.0825,0.0034,0.9459,-3.05,2.80,-0.43,,,,,,
31493,I,0.2544,-0.0364,0.8657,-1.65,-2.44,0.24,,,,,,
31503,I,0.1151,0.0383,1.2415,1.52,2.01,-0.37,,,,,,
31513,I,0.1791,-0.0125,0.8339,-1.71,0.06,-0.06,,,,,,
31533,I,0.1536,0.0256,1.0541,1.65,1.89,-0.18,,,,,,
31544,I,0.2080,-0.0189,0.8781,-2.56,0.00,-0.12,,,,,,
31554,I,0.0817,0.0065,1.2056,1.52,-0.24,0.24,,,,,,
31564,I,0.1729,-0.0190,0.7911,0.30,-2.20,-0.06,,,,,,
31574,I,0.2789,-0.0089,0.9989,0.12,3.41,-0.79,,,,,,
31584,I,0.0657,0.0378,1.1534,0.43,-2.44,0.18,,,,,,
31594,I,0.2976,-0.0126,0.8550,0.49,1.59,-0.43,,,,,,
31604,I,0.1725,0.0291,1.1036,-1.28,2.01,-0.24,,,,,,
31614,I,0.1174,-0.0155,0.8898,-0.73,-1.59,-0.12,,,,,,
31624,I,0.2341,-0.0328,0.9312,3.05,2.26,-0.55,,,,,,
31634,I,0.0990,0.0562,1.2571,-0.18,-0.85,0.18,,,,,,
31644,I,0.2012,-0.0210,0.7540,-0.91,-1.40,-0.43,,,,,,
31654,I,0.2761,-0.0156,1.0261,3.60,2.56,-0.37,,,,,,
31664,I,0.1362,0.0502,1.1493,-0.67,-0.24,-0.06,,,,,,
31674,I,0.2180,-0.0151,0.7435,-1.16,0.55,-0.61,,,,,,
31684,I,0.1434,-0.0032,1.2445,2.87,2.44,-0.37,,,,,,
31694,I,0.0865,0.0387,1.0194,0.85,-3.72,0.30,,,,,,
31704,I,0.3159,-0.0231,0.7264,0.85,-3.72,0.30,,,,,,
31714,I,0.1128,0.0304,1.2777,0.37,2.38,-1.10,,,,,,
31724,I,0.1875,0.0194,0.9225,1.83,0.49,-0.18,,,,,,
31744,I,0.0452,0.0392,1.2544,0.00,3.29,-0.85,,,,,,
31754,I,0.2070,-0.0199,0.7147,0.24,-0.73,0.00,,,,,,
31764,I,0.2682,0.0111,1.0508,3.41,-2.01,-0.18,,,,,,
31774,I,0.0513,0.0554,1.1353,1.59,3.72,-1.04,,,,,,
31784,I,0.2856,-0.0055,0.8560,-0.30,-2.68,0.00,,,,,,
31794,I,0.1710,0.0367,1.0807,2.62,1.28,-0.30,,,,,,
31804,I,0.1610,-0.0076,0.8889,-0.18,1.04,-0.49,,,,,,
31814,I,0.1544,0.0079,1.1216,3.72,0.85,-0.30,,,,,,
31824,I,0.1230,0.0229,0.9434,1.04,-2.26,-0.12,,,,,,
31834,I,0.2708,-0.0026,0.9595,-0.30,2.26,-0.98,,,,,,
31844,I,0.0986,0.0090,1.0319,3.60,-1.59,-0.12,,,,,,
31854,I,0.2474,0.0176,1.0337,3.60,-1.59,-0.12,,,,,,
31864,I,0.1421,0.0320,1.0006,-0.91,-0.49,-0.37,,,,,,
31874,I,0.1793,-0.0377,0.8961,2.50,1.77,-0.91,,,,,,
31884,I,0.0450,0.0353,1.2207,2.44,-0.73,-0.06,,,,,,
31894,I,0.1698,0.0005,0.8143,0.06,-2.56,-0.06,,,,,,
31904,I,0.2665,-0.0441,0.9611,1.40,2.99,-1.10,,,,,,
